Χρονική σήμανση,Όνομα Επιχείρησης (title),Ημερομηνία Δραστηριότητας (date),Τοποθεσία (location),Περιγραφή (description),URL Εικόνας (image),Τοποθεσία (Google Maps URL),Τοποθεσία (coondinates)
,"Silver Workshop" ,01/07/2026,"Αγιος Γεώργιος, Ζαγορά Πήλιο","Η μεταμόρφωση του ασημιού μέσα από την επεξεργασία",photos/workshop2.jpg,https://maps.app.goo.gl/1Tp9eeBAp6ZMkHHJ8,"39.4444, 23.1028"
,"Λαϊκο Γλέντι" ,07/07/2026,"Αγιος Γεώργιος, Ζαγορά Πήλιο","Ζωντανή μουσική με έντεχνα και λαίκά",photos/glenti.jpg,https://maps.app.goo.gl/NVNGTKxFpRJu8s1w9,"39.4442, 23.1027"
